,name,average 3,average 5,average 10,average SMT-CBS,EXP
0,grid_50x50_a2,0.34241666666666665,0.2888833333333333,0.29253333333333337,0.2534166666666667,0.24286666666666668
1,grid_50x50_a4,2.2159999999999997,1.6865,1.7048333333333332,1.640666666666667,1.6968333333333334
2,grid_50x50_a6,2.2298333333333336,1.4806666666666668,1.5065,1.3445,1.4736666666666667
3,grid_50x50_a8,6.4125000000000005,4.8065000000000015,4.8501666666666665,4.533499999999999,5.167833333333333
4,grid_50x50_a10,8.470166666666666,6.430833333333332,6.632833333333332,6.0844999999999985,6.950500000000001
5,grid_50x50_a12,6.572500000000002,5.0390000000000015,5.304833333333334,4.626166666666667,5.494666666666666
6,grid_50x50_a14,10.115833333333333,8.3765,9.094,7.5,8.469333333333333
7,grid_50x50_a16,8.781666666666668,8.518500000000001,9.343833333333334,7.828666666666668,8.6995
8,grid_50x50_a18,8.628666666666666,8.152833333333334,8.916666666666666,7.654000000000001,8.805666666666665
9,grid_50x50_a20,10.351666666666668,10.083,12.218333333333335,9.064333333333332,9.852666666666668
10,grid_50x50_a22,11.625,12.67,14.213333333333333,11.706666666666665,12.691666666666668
11,grid_50x50_a24,5.556666666666668,5.538666666666668,6.401166666666667,5.033,5.6735
12,grid_50x50_a26,17.775,18.811666666666667,21.00666666666667,15.703333333333333,17.94666666666667
13,grid_50x50_a28,29.67833333333333,29.746666666666666,39.27333333333333,25.335,28.855
14,grid_50x50_a30,19.185,20.706666666666667,22.866666666666664,17.265,17.335000000000004
