,name,3,5,10,EXP,EXP 1.4,EXP 1.6
0,grid_16x16_a2,0.025596,0.028796,0.0222,0.022149,0.020983,0.024243
1,grid_16x16_a4,0.024526,0.024979,0.022334,0.01949,0.020363,0.020193
2,grid_16x16_a6,0.0104885,0.0169333,0.0088562,0.0086286,0.0127036,0.0084051
3,grid_16x16_a8,0.022865,0.020123,0.021111,0.017998,0.018255,0.020372
4,grid_16x16_a10,0.052609,0.052124,0.054318,0.059623,0.054263,0.061816
5,grid_16x16_a12,0.044912,0.041237,0.042874,0.039526,0.045961,0.04744
6,grid_16x16_a14,0.076297,0.079511,0.076695,0.082564,0.078193,0.080598
7,grid_16x16_a16,0.076244,0.072009,0.075378,0.073512,0.067663,0.076218
8,grid_16x16_a18,0.17037,0.18351,0.17593,0.19915,0.16777,0.19228
9,grid_16x16_a20,0.25253,0.24113,0.28222,0.28595,0.29537,0.27404
10,grid_16x16_a22,0.15238,0.14976,0.15157,0.15121,0.15517,0.168
11,grid_16x16_a24,0.16141,0.16186,0.16936,0.15372,0.16484,0.17948
12,grid_16x16_a26,0.24845,0.25976,0.2824,0.28661,0.30169,0.2834
13,grid_16x16_a28,0.53677,0.49488,0.50298,0.46229,0.50901,0.51162
14,grid_16x16_a30,0.63022,0.60872,0.70948,0.65063,0.60661,0.68432
,,2.4856675,2.4353323,2.5977062,2.5130506,2.5188446,2.6324251
