,name,3,5,10,EXP,EXP 1.4,EXP 1.6
0,warehouse_a2,14.038,13.742,14.02,13.976,14.126,13.798
1,warehouse_a4,4.5694,4.51,4.5036,4.4996,4.516,4.5798
2,warehouse_a6,7.7352,7.7498,7.5496,7.7726,7.4936,7.9154
3,warehouse_a8,26.134,26.11,25.964,26.67,25.832,26.654
4,warehouse_a10,47.3,48.134,47.51,47.328,47.474,53.586
5,warehouse_a12,49.642,49.53,49.388,49.614,49.452,48.95
6,warehouse_a14,59.08,51.36,57.282,51.474,58.58,55.562
7,warehouse_a16,33.994,36.16,36.084,35.074,35.75,35.216
,,242.4926,237.2958,242.3012,236.4082,243.2236,246.2612
