name,3,5,10,EXP,EXP 1.4,EXP 1.6
grid_16x16_a2,-0.0111109,-0.012625099999999997,-0.010568300000000001,-0.008463900000000002,-0.0036689000000000027,-0.0089145
grid_16x16_a4,-0.005745999999999998,-0.0036279999999999993,-0.0020750000000000005,0.002765,0.0037139999999999986,0.0056190000000000025
grid_16x16_a6,0.0042527,-0.008781100000000003,0.0018721999999999975,0.009946100000000003,0.0038102000000000014,0.0045454
grid_16x16_a8,-0.0028129999999999995,0.002353000000000001,0.00041300000000000017,0.004551000000000003,0.0033739999999999985,0.0014400000000000003
grid_16x16_a10,-0.002133000000000003,0.005262000000000003,-0.0014079999999999926,-0.005065999999999994,-0.004416000000000003,-0.00953600000000001
grid_16x16_a12,-0.003604000000000003,0.002146999999999996,0.003026000000000001,0.000774999999999991,-0.005915000000000004,-0.009410000000000002
grid_16x16_a14,-0.0013809999999999933,-0.007278999999999994,-0.0002500000000000002,-0.006990999999999997,0.003348999999999991,-0.008200000000000027
grid_16x16_a16,-0.0011200000000000099,0.0007110000000000033,-0.0028519999999999934,-0.00543200000000002,0.013254000000000002,-0.003494999999999998
grid_16x16_a18,0.002939999999999998,-0.005829999999999974,-0.00606000000000001,-0.014379999999999976,0.008819999999999939,-0.00964000000000001
grid_16x16_a20,-0.03315000000000001,-0.005430000000000018,-0.054009999999999975,-0.04932000000000003,-0.022940000000000016,-0.046499999999999986
grid_16x16_a22,-0.00356999999999999,-0.0038400000000000656,0.013859999999999983,-0.0021499999999999853,0.010260000000000047,-0.024719999999999992
grid_16x16_a24,0.005269999999999997,-0.00627999999999998,-0.0058,0.0030799999999999716,-0.013270000000000032,-0.02809000000000006
grid_16x16_a26,-0.0039699999999999736,-0.010190000000000005,-0.0026399999999999757,-0.026319999999999955,-0.04328000000000004,-0.009619999999999962
grid_16x16_a28,-0.021199999999999997,-0.015629999999999977,-0.02135999999999999,0.016210000000000002,0.013209999999999944,-0.014399999999999968
grid_16x16_a30,-0.2682699999999999,-0.29009999999999997,-0.34787,-0.35425999999999996,-0.29464999999999997,-0.3282899999999999
Total,-0.3456051999999999,-0.35914019999999997,-0.4357221,-0.43505579999999994,-0.32834870000000016,-0.4892110999999999
